,Rating,Review title,Review
0,1,I got a defective piece. Since I was not ...,"I got a defective piece. Since I was not at my home during the delivery period, I couldn't ask for replacement. I'm trying to claim warranty, but I didn't get any assistance."
1,1,Do not buy this bag,This bag is of the lowest quality you can imagine. I am sure it's a duplicate one and not original. The inner partitions are so thin that they will tear off after 3-4 use. Returning the item.
2,2,Disliked the product but <3 to Amazon,"Received the bag in the worst packaging I have seen in my e commerce experience.Also the bag though seemed original seemed to be of poor quality.The partition cloth seemed weak and the mesh for carrying bottle around seemed fragile.Overall 2 stars for Amazon and not for the product1 for timely delivery, and2 for accepting the refund!"
3,1,Poor quality,"The stiches of the  bag is started coming out in 6 months. Feel the cloth is of poor quality.how to return the bag for availing the warranty, can anyone please adviseReturning the materials after the Amazon window closes is an Herculean task, the bag has become a burden for me now"
4,5,Five Stars,Very nice bag ....Very light....And spacious. ...
5,1,Bad quality,Totally disappointed..Not at all worth buying. It seems only the name is been printed as American Tourister and the bag is local brand. Quality is so badThis time totally disappointed.
6,5,Looks Great and Robust,I got this for 803 ...at this price it's great .I have got this right now ...looking great ..I feel  that it will be robust in long term usage ..if not I will right and decrease the rating ...but for now it's amazing Amazon!!!
7,4,Good product at steal price,Product is good with classy looks...Have enough space for 3 days travel..Fabric should have been even better ....
8,2,it looks like a copy and the material quality is really cheap,I got this bag just a moment ago..And my reaction was what the hell.. it looks like a copy and the material quality is really cheap..it doesn’t look like an original American tourister..Amazon is selling fake products
9,1,Duplicate or low quality products are sold on Amazon,"Initially the bag was very good. But with the passage of time and continuous usage, the bottom of the bag started deteriorating. And after 1 year and 2 months it has started tearing off. On the other hand my son is using school bag of Skybags bought from Big Bazaar and it's still in good condition despite of rough usage which usually kids do.After comparing both the bags I arrived on the conclusion that either the bags which are being sold on Amazon are duplicate products or are of low quality which are specially manufactured for selling on eCommerce websites.This is not the only case. I have arrived on this conclusion after 3-4 years of experience, as within this period I have purchased handbags of Lavie, Caprese etc. All the bags started deteriorating after passage of one year."
10,3,Poor quality product. Not meet to our standards.,The product as looks is not competable with image. The inner images is totally different. There is no compartment for pen and pencil as shown in picture.Material are not at standard level of american tourister.May be  some one cheating company with his brand. Very poor quality.As I have to move with on urgent basis. Otherwise I have to go return and buy new from market.I don't believe it that Amazon too is going to loose his brand credibility.
11,5,Best product at this price 😄😄😁😁😃😍🤩,"This backpack is amazing..First I ordered the same bag with grey colour from Flipkart but the  price was 1234.56 rupees but when I searched this product from Amazon price was 920 only.... And also delivery time was osm. U can go through with this bag for travelling ,school ,college nd etc. U all can judge from pics😄"
12,4,Very Good,The bag quality is very good and very light weight.
13,5,😉😉😉😉😉😎😎😎😎,Okk super product but the material is not like shown in picture but overall I review it 4.5 out of 5 stars nyc item and also it has very good storage capacity
14,1,Bad product,"Not at all good waste one. After a month it gets toron, not at all water proof 😤"
15,5,Great product!!!,"Using it for around 2 months. This bag is quite large than what it seems in the image. The red colour also looks good. Ideal for students from 9 standards till last year of graduation.And yeah, don't u worry: it's original American Tourister bag!"
16,5,Awesome💓,Bag is quite good.. original american tourister
17,1,Bad quality,I bought the bag relaying upon the brand and Amazon. But quality of the bag is very poor. Three months old bag looks like three years old. I was very disappointed. Never expects such a bad quality product from an international brand like American toutister. Please don't buy. I actually want to return the bag since it is within warranty period.
18,1,I want to replace it,"I hate everything in the bag and the strap is torn off ,I want to replace it"
19,5,Marvellous product!!!!!!!,Build quality is excellent. The bag is water resistant. The graphics on bag make the more attractive. I'm totally satisfied with this backbag. It is very very light weight. Thank you American Tourister for manufacturing this marvellous product. Best backbag under 1200/-
20,1,Caution! Do not waste your money,Bag started tearing within 2 weeks of usage.  Had taken for my kid for class 3. Books plus lunch box is less than 3 kgs. Outside water bottle pocket could not handle 750 ml water bottle and is completely torn on both sides. Complete wastage of your money.  I bought after reading review and americian tourister brand but in vain!
21,5,A Wonderfully durable Backpack,"Bag was safely packaged,Bag is as same as it is shown in the image.Bag quality is very nice, 4 compartments, & a bottle holder.Belt quality is good,Specially it is light weight with tough durability, thats best for traveling purposes.Also it is water resistant like sprinkling rain couldn't affect it at all.But normal rain and heavy rain might get in.All over as a backpack its compartment are quite spacious."
22,1,I want to exchange this item because it tore in 2 months you give me a warranty of that so exchange,"I WANT TO EXCHANGE that item because it tore fully i go to for travelling with that bag and i store light weight things in it like chips water bottle and snacks. I come to my house after 5,6 days so i see this the bsg was tore inside and under it . So i want to exchange this you give me a world wide warranty of it of one(1) year. So sir plz exchange that item i will buy on 15 april 2019"
23,1,Bad quality product,"Within a month of usage, the bag material is shredding of its own."
24,3,"strength, weight, cost","While cost is considered I bought it really cheap less than 900 or 800 ,I don't remember , and with respect to price it can be accept but in not a product which you can see the quality also you cant carry a lot of items it as it may not handle it for regular use just to go to college you an use but if you in school not recommended for you as you need to carry a lot of things.It is light weight w.r.t its size also not recommended to carry laptop as the cloth it is make up of is very delicate and wont provide any kind of paddingThere are a lot of pockets in the first compartment which you will be of a great useIf you are thinking to buy this bag I would recommend you to put a little more amount of money and buy a better oneThis one is sold in market because in has a logo of american tuorister nothing more than that"
25,5,Extremely good quality bag,"Received it on the very next day of ordering. The bag came well packed and in perfect condition. It looks very classy. Its original American Tourister bag with a warranty card. Its light weight and looks sturdy. Stitches and all were perfect when received. I am yet to use it, will update the review after few months of using it."
26,1,One Star,STITCHING IS NOT GOOD. CLOTH ALSO NOT GOOD.WITHIN ONE MONTH TEAR BOTTOM SIDE
27,1,Never go for it. Looks like copy of American Tourister,I looks wonderful in pics but worst in original when you receive it. It looks like you had purchased a copy from some delhi markets at cost of 300-400 rs. You cant believe it is American Tourister Bag. Amazon must verify the Quality is it American Tourister ?
28,1,Very poor,It's looks like a duplicate product. Very poor stitching quality like a road side bag. I don't expect from Amazon.
29,1,The bag torned in one month from the bottom,"The bag is good, large but the colour is not as dark as shown in image of the bag also it just torned in one month... I also didn't received the warranty card... I think its duplicate American tourister"
30,1,"Very Costly ,Poor Quality,Poor Service","I had bought this product by seeing it's review,but reality is different. This product is actually imported from China,Its really expensive due to its import duty.I am using it from last 6 months.Its quality is not in accordance with its price.It gets torned within few days of using it.Since the product is under warranty ,I tried to connect call center number mentioned in warranty card but the number was wrong.Then I decided to go in service center but they denied to repair.Please do not waste your money to buy this product.Better you go with other products which is Made in India Only."
31,5,The best product,Good quality best product fast delivery and made with best quality of material and awesome size good colour best zip many pockets
32,5,I love it,It is a good bag light weight and the stickers will not fade I am using it for 6 months. honest review the bag is good for that price so much spaces inside the bag I am using it every day the packaging is very good I love this bag nice design. And the stitches are very tough good product from American Tourister.I had not faced any problems while using this bag till now. The bag is not water resistant. Value for money
33,5,Perfect size for class 9,"Ordered this for my niece who is in class 9, she liked it as it can fit all her stuff and is easy to carry. All the zips and pockets are still working without any issue after 4 months. But now it's not being used very much  as all the schools are shut indefinitely.  But the bag is good , there is no issue that we faced."
34,4,Missing key chain,The product is superb with light weight.the only thing is missing is the key chain which is being provided by the brand. And the warranty card seller stamping is not done.
35,3,It's ok... Not very good... Not very bad...!,This product is good. But it does have many flaws. First of all the Sticthing is not upto the mark. Secondly it doesn't have a laptop carrying space( it is mentioned in the specs also). Thirdly the material which is used is not that good especially the interior spaces.The good part is it is very much light weighed. Abundance of space for a bag of this size. For 850₹ this bag is ok. First look is stylish.
