,Review ratings,Review title,Review
0,3,Average Mic Quality,"I am using this neck band about past 12 days and writing my review. I used this earphone with bike travel,  pubg , alone in room, noisy crowded places and in office. i am writing this review from my own perspective. Medium level of volume (60%) is enough for me through the day for call and music and it have charge upto one and half day.1.Good audio quality-  4/52.Decent Bass - 4/53.Good battery backup  - 4/54.Quality material -  5/55.Ergonomics - 4.5/56.Mic - 2/57.Gaming - 4.5/5.Everything in this product is fine until online call comes. It have two mic on the headphone. i don't know which one is pickup the noise in online call. when we use this headphone for online calls the mic works absolutely terrible for me. It is very responsive and pickup the tiny noise very far from the mic and not picking up my voice. i tried with wtsapp, Duo,Skype and Zoom call. It is frustrating for me all the times.I checked with one of my colleague's earphone it do have the same issue as mine.Noise cancellation during bike drive works is still not up to satisfying. it work sometimes and most of the time the opponent hear only wind noise. I tried to block the wind by placing the neckband below my shirt's collar,, still wind noise is there. Apart from that, the mic works decent in normal calls.During PUBG, i don't feel any latency issue with this and also no audio or mic issue."
1,1,Received opened box,"I received package but in box I got a broken data cable. Amazon again defaulter with its service.After got my refund, I purchased it from local shop. I impressed with its design and flexibility around the neck. Sound also great. But with in 15 days left side part stopped working and this time I surprised because I'm the person who cares alot of my products. One plus service center changed it and provide me a new earphone.If you are thinking to purchase it..no doubt it's a great product.It's produced a balance sound that's all."
2,2,"If you know even little about a music should sound , you won't like it.","Overall a good earphone but not a good sounding headphone.If you're looking for anything that sounds good, has natural lows , warm and and deep mids, sparkling and clear highs ? Go for anything but not this. Soundstage wise , they're horrible, bass is artificial, there is absolutely no imaging. The depth in the audio sounds like a 8bit Audio played on 1995 Walkman. Highs are absolutely absent. This is just very very bad sounding headphone.But, if you don't care about Audio Quality in the Music and like anything that has good battery, charges superfast, sleek and well built, produces stupid bass for IDK what reason. Then you might like it.I don't like it and I won't recommend it. (Tested on 24bit 96khz FLAC/ALAC files)"
3,5,Balanced earphone with great build quality worth buying!!,This is my second purchase of this earphone. This is a great earphone.Pros-------Great sound quality (4/5)Bass is excellent (5/5)Call quality (5/5) - so far nobody complained about my calls and it is crystal clear.Noise cancellation good (4/5)Comfort in the ears (4/5) - please choose the earbuds according to your comfort. The small one looked more comfortable for me.Battery backup is excellent (5/5) - You can easily get 12-15 hours of playback/call time.Magnet ON/OFF switch is great - this helps in not using the battery when magnetic switch is paired. With medium to heavy usage the battery last for 3+ days easily.Fast pairing is great.Build quality is excellentCons-------No switch for pairing with multiple devices. You need to manually do this.Even though the earbuds are comfortable you may feel slight discomfort after using it for longer period continuously.Highly recommended for anybody who is looking for a decent Bluetooth headset.
4,5,"Good sound but no noise cancellation,","Built - good built as expected, band is soft silicone, one side three button control with charging port which shockingly have no cover on it, all other cheaper alternative have.Connection - no issues fast seamless,Sound - main features is sound quality, as it is bass edition, so mote than enough bass, compared to other owned earbuds like cross beats evolve not as par to it, it sound like a SMALL SPEAKER IS SOUNDING A FULL SOUND, whereas boat rokerz 385v2 sound like a big home theatre system sounding, and sound is not balanced as it is bass edition.Bass, mids, vocals can heard clearly and separately but quality not up towards crossbeats.Charging - super fast,Verdict - other alternative at cheaper price bracket like boat, noise can be recommended over this."
5,3,Product has manufacturing defect.,"After one month of use, honest review.Everything is good sound, battery backup, connectivity, look and noise cancelation but Chinese product remains Chinese.Sorry to say but the volume, play/pause button fell off suddenly somewhere while neckband was in my ear and it shows no sign before so that I could have fixed it.It just fell off.Everything still works fine but I don't have buttons to increase/decrease volume, play or pause In neck band."
6,1,DOWNGRADED  features!!,"In the previous model, we could easily switch between two connected devices. While hearing  TV / laptop/ ipad output on the Bluetooth, one could switch to the phone or any other connected device  with just a double click on the power button. This was such a super useful feature of this device in the previous version. THE NEW MODEL DOES NOT  HAVE THAT OPTION!! I tried  all possibilities and read through the manual.. No .. NOT AVAILABLE!! This is. Ridiculous and feel so cheated.. how could they strip off such an important and very USEFUL feature!  I am appalled and deeply disappointed.  Can’t return it.. only replacement is allowed. !! How could the company be so stupid and thoughtless."
7,5,Battery hulk,"Excellent headphones. I use them a lot - listening to podcasts when I'm pottering, music when I'm running, for every phone call and video conference. The ...The warp charging is amazing - combined with the automatic off when they dangle round your neck (magnetic buds), it means I just never run out of battery. 10 mins of charging keeps them going for a couple of days of use for me.They connect to my phone automatically and very quickly when I snap them apart. A button on the neck band switches the connection quickly to my laptop and back.Sound quality is excellent and they're pretty comfy. The fit in my ear isn't quite as good as I've had with some other in-ear headphones, but they stay in well enough for use on long cross-country runs."
8,5,You are immediately in Dreamland or Wonderland,When you want to dream about something while watching videos or PRETENDING TO BE SEEING THE NEWS AND STUDYING.IT'S AN EXCELLENT WAY TO GET YOUR OWN SENSES DOING WHAT YOU WANT OR YOUR BRAIN WANTS TO DO... USE THESE HEADPHONES... WOW.. I WAS IMPRESSED BY THE QUALITY OF THE TREBLE MIDRANGE AND BASS SOUNDS AND THE SOUND OF THE AUDIENCE IN THE LIVE MUSIC VIDEOS... BUT YOU TEND TO DREAM MORE THAN WORK.. IF YOU TOTAL YOUR WORK AFTERWARDS WHEN THE MUSIC STOPS... 🎧🍷💭🎶🎵🎼😳👀..THAT'S SOUND SCIENCE TOO GOOD KEEP IT UP... WOW...
9,4,Just amazing!!!! Very happy with these,"Pros:Best in class sound and great bassGood for all music genresReasonable priceGood balance of mids, lows. The upper highs are little muffed and could be a problem for hard rock lovers. But you can make any headphones work as per your needs with the equalizer on your device.Cons:One star less because they didn’t put the quick switch button on these ones. The old ones without the bass edition had a quick switch button. I can live with that but the convenience is missing in these ones. My solution press and hold the middle button and then switch in the mobile device for connecting."
10,3,Overall Good product but When travelling Outdoors the Noise Cancellation is almost Zero.,Overall Good product but When travelling Outdoors the Noise Cancellation is almost Zero.Firstly Dont buy this product if you always use it Outdoors because the Noise Cancellation is Almost Zero.The opponent cant hear your Voice clearly because of Background Noise.Apart from This the Earphones are amazing in terms if Sound Quality.
11,2,FLIMSY PRODUCT,"Though the sound/bass quality is good, the product is very unreliable and flimsy. Right side buds stopped working within 2 days of purchase. Also, there was a cracking noise heard during phonecalls which is very disturbing. Got a free replacement from Amazon as per their policy. The replaced product also had the same issues. Was denied another round of replacement by Amazon, thus had to visit a OnePlus exclusive service center. They took more than a week's time and gave a replacement which they claimed to be a new product. These ""new"" earphones won't get charged and are unusable. OnePlus is not offering pickup-drop service for repair due some technical issues. Highly disappointed with the entire turn of events and experience. Total waste of time and money."
12,2,Third grade quality,All thos Mother!@#$%^&* who aporeciated this one plus product mast have done it for paid.its no where near to realme earphone which comes in 1799 ..only problem with realme earphone is that its wire used to break from the main machine ...or else i would have bought realme earphone for third time in 2 years....but i bought this One plus product in 2000 rupees which is just a trash .One plus is useless earphone
13,5,Best in the class.,"It is good in all aspects. I purchased 4 numbers of OnePlus Bullets Bluetooth Wireless Z Bass Edition in Ear Earphones with Mic (Black) for me and my friends. The performance of the sets is good and the battery charge is sufficient for the full day. For one of the sets, Magnet was dropped and lost somewhere after 10 months of usage. Replacement is denied as the magnet is not found. Another set stopped pairing after 2 Months. Oneplus service center replaced it with a new set on my request."
14,5,Awesome,"This the replacement of the fault one. I bought for fire time to gift my wife and eventually it failed to work within two days. But I crossed the replacement period. Still after explaining Amazon representative, they accepted to replace and provide me a new one. I mean, the Amazon representative guy was very helpful. The replacement one is working excellent. Thank you Amazon"
15,5,Worth the price!,"This is the best bluetooth earphone I have ever used. Unmatched sound quality, ease switch between songs / connecting or disconnecting calls.The best thing about this is the battery back up. Literal 5-10 minutes of charging would give a 100% charge.  Although it depends on the usage, but a moderate use can still make the battery last for 3-4 days. I love the magnet at the end of the earbuds to save the chare.You don't need to think twice before getting this one if you are looking to buy a good quality bluetooth earphones."
16,4,A balanced Bluetooth earphone in this price!!,"This review I am writing after 1 month usage. Firstly let me say that I am a moderate user of this item. I used this Bluetooth headset for calls, audios and music.Pros:1. One plus being an elite brand has tried to maintain a decent quality of the product.2. Bass & Treble performance - deep bass delivery is satisfactory. High pitched notes could be made better. I am a fan of Jagjit Singh and his ghazals were all upto my satisfactory levels.3. Tried it using inside trains. At 75% volume level outside noises were mostly eleminated. Outdoor ambient noise was also blocked when used during brisk walking or trolling. Choice of volume level is upto the hearing perception of an user. So I am not commenting more on this.4. Call reception quality is good enough.5. If you use it at night in a dark room with some classical songs playing....simply you will love to continue to play.6. Lastly the sound delivery does not distort even at higher volumes which is a great positive factor to me.7. Battery backup is satisfactory. It never runs out of charge. After 2 hrs of listening charge dips 10% only which is acceptable.Cons:1. It could be made a bit sturdy at this price.2. The thin round wires coming out from the headband will tend to tear at that place because it is a weak joint. It could be made better.Overall if you can spare a bit much from the ranges around 1100-1300 then this won't turn you down. I am happy using this item as of now.Choice is yours. Best of luck."
