,Review ratings,Review title,Review
0,3,Intetnals same as chiense once. Battery is not li ion.,"It has the same battery inside which all the chinese mosquito racket have.. I e 4 volt lead acid..So essentially it is the same racket as chinese once but at more than double the price(150 rs vs 350 rs).. Being a lead acid its capacity is less. Also, it won't hold the charge for long and one need to keep it charged, so that 30 days claim on the box is more like in after 30 days battery will be completely dead.. I was very tempted to return it.. But kept it , may be due to laziness. Or may be for giving it a try.. Btw most people don't reliaze that after a year of usage, its the capacitor which goes bad in 90% of the rackets and not actually the battery.. Battay capacity goes down, but with new capacitor it should work like new but with much lesser charge.Edit: aftet using it for quite a good time, now i can say that, its battery has gone down but it still kills well. So mostly it has good capcitor etc. Still though its costly at 450 rs. Approx 300 rs would have been ideal price. But not many good options available in market."
1,1,Defective product,I had to return the product as there was a metal ring trapped and touching the net. As soon as switch is pressed it used to flicker even without mosquitos.
2,1,Dead HIT Anti Mosquito Racquet,"It has not been working since purchase. It is still within the warranty period. The Racquet is registered with the manufacturer within 10 days of purchase. The fact of non-functioning the racquet has also been informed to the manufacturer. They advised getting offsite service free-of-cost and accordingly, they have provided the address of the service centre which is far away from my residence. Due to my old age ailments, I requested them for an alternate arrangement like providing onsite service, etc. Since then, they are totally silent till date."
3,1,Too Bad,Received it with full of scratchI ordered one and then I’ve to get it replaced because that had too many scratches that means the product was usedAnd now when i got it replaced still it is used
4,1,Warranty service is not good,The product came with loose switch for on and off I ignored it being a minor issue after 1month the product stopped working when approached regarding warranty service was alloted taking lot pain searching the service centre the response was poor and service was denied by service centre saying that the company dint intimate regarding the service
5,5,Great!,"The racquet is of great quality and feels durable and of nice material. It has a strong build and does what it is supposed to very effectively. One hit is enough to kill a mosquito. Finally a good company is making mosquito racquets.However, the warranty is only for manufacture defects and not for wear and tear damages to the racquet from normal use. I will update if the racquet dissappoints but out of the box it is working great till now."
6,1,Not durable. Claiming warranty is a pain,"The product worked very well for a month and then stopped working. Once my product stopped working, I used the link that came with the device and as per process, I have to send the racket to one location in Mumbai. The time, energy and money wont justify claiming warranty. I am going to replace this with a cheap unbranded version instead.PS:The LED light is more of a gimmick and offers no assistance with hunting mosquitoes."
7,1,fair,wast of money product it was not working properly and battery was discharge in 2minuts after a charge of 2 h if you not trust try this produte
8,1,Waste money.. water product..,Please don't buy this product..I place this mosquitoe Racquets because for my 2 month old child.. the Racquets battery is not for long time.. I place Racquet charging for one day full.. but it work only for 5 to 10 mins in the midnight the battery  dry out.. I place warranty also they didn't properly respond for that.. they took more than  1 months.. still am not receive the Racquets after the replacement..
9,1,Not worthy,"The dealer sent the first one a fresh piece the battery charge lasted for one week. I thought that I got a better one made in India with reputed brand 'Godrej'. After one week, the battery did not last for even 1 hour. And then stopped working. So, I had to return it for replacement. And the item received was a repaired & refurbished one, That too charge did not last for 3 hours. And finally returned and got refund."
10,1,Must read before you buy!,"This is the most expensive worst mosquito bat I've ever used. I purchased it thinking Godrej is a reputed company and is offering 6 months warranty. Generally I don't expect much from such bats since they're only cost 100-200. But since I bought this one at 499 and that too from Godrej, I really expected a better service.The product stopped working within a week. I had registered on the website within the given period of 7-10 days. I tried contacting team Godrej via call and email but I've received no response. They only say we understand your trouble and will provide resolution asap. After 7-8 calls and emails, I've stopped wasting any more time.I don't know why it has satisfactory reviews, but my experience has been the worst in this segment. Even the cheaper mosquito bats work much better and longer than this while costing less than half of it."
11,5,"A Godrej Product, Perfect customer care.","Let me divide this review to two parts.1. Product - This is a Godrej product. The quality is really nice. Proper grip, good coverage area, a not very useful :)  blue LED to see mosquitoes in the dark. Battery capacity depends on individual usage, but in my case a charge of 3 hrs daily easily helps me hunt mosquitoes for entire night. Overall I am pretty happy with the product.2. Customer care and 6 months warranty - This is where brands like Godrej live up to their legacy. You have to register you bat in Godrej website to avail the 6 months warranty. I have purchased 3 bats and one of them started to spark even without mosquitoes. I raised a warranty claim and I could find my issue listed there. Proves the proper R&D Godrej has put into the product. And I received a new bat as replacement within a week. I couldn't be happier.So for all the buyers, please go ahead a purchase this Godrej HIT bat. I wont claim that it performs better than other bats out there, but regarding customer care no one can beat GODREJ."
12,5,Product is good with no warranty,Better purchase the product with warranty.
13,5,Excellent product! 👍,Excellent product!Super effective.. And what's best is that it comes with a 6 months warranty.A must buy- go for it! Kills mosquitoes with just one touch!
14,3,Good...but not great!,"Writing this review after 2 months of usage.Pros:Safety switch. Useful for those who're having young kidsBuild qualityCons:Blue Light is just a bling factor. Not really useful in dark areas.Battery is not long lastingIf this review was helpful, feel free to click the helpful button so that I'm notified"
15,1,Got this in Rs.200 at https://amzn.to/37fvyK8 with 10% off,"I got this in Rs.200 at https://amzn.to/37fvyK8 with 10% off, but I am regretting buying this product. I thought its a BRAND, but HIT is just a name, nothing more than that. Its worst than those china made rackets. Also their warranty claim process is not working. You just getting SMS but nothing going to happen. Don't buy this ever."
16,5,The best out there,"This is a very very good mosquito racquet. The best without a doubt. My racquet malfunctioned within a few weeks of buying. Godrej replaced it and shipped a new one to me. Great customer support. Till date it's working great.Edit: The first one no longer works so I have bought another one, after more than a year and a half. This is totally acceptable as a life span for the racquet."
17,1,Worst product. Don't fall for brand name & warranty,This product stopped working exactly after 25 days from purchase and even after claiming on website for warranty & multiple emails on warranty there is no response. Worst experience.
18,5,"Effective by both day and night, with a powerhouse of a battery","Bought this brand even though there were cheaper ones because the brand name evoked confidence that I would be able to kill seven at a blow. The bat looks mean in an all black colour with the brand emblazoned across the front. Job wise, it's about as effective as the earlier bat and more depends on the skill of the user. However, its USP, one not mentioned in the brochure, is it's battery life. While the earlier one needed recharging after 2 hours of use, this one is still going strong without a recharge, even after a month, with about 6 hours of use daily. Please not that this has only been used to kill mosquitoes, not flies or other insects."
19,5,Strong Build quality & Easy Warranty Registration!,"It's just way better racquet then any available in the market. And it's branded! The build quality is great, you can just feel it, when you hold it in hand. There is no shaky sound or looses parts making noise. I charged once, and using it for more than a week now. The plug seemed little loose, but still works for fine. Got to be little careful, maybe my socket, it's very old.I really like the quality of box packing. It's just too cool!I used to buy one every two months for 150 at station, this I hope will last long with warranty. The warranty registration is very easy as well, just upload with invoice number & purchase date.Pros:Warranty, Build Quality, Long batteryCons:It's just a blue led light to spot mosquitos in dark, as claimed. It's not exactly a strong torch light."
20,1,Never go with Brand name,"Ordered this through prime, took a while to deliver even though a prime product, the package came damaged, the seal was open, despite I tried to charge and use it instead of returning, kept on charging for about 8hrs, forgot about killing mosquitoes are flies it doesn't even make a small noise, only the blue LED works that's it.But the build quality is good and sturdy, it doesn't look like roadside cheap swatter, don't know the reasons for it's non-workability. Might be the parts being used are of very low quality..Only reason I purchased this was Godrej Hit brand name, even though I read many negative reviews. So never go with the brand name, always refer to the latest reviews."
21,1,"Cheater Godrej,Fake warranty","Worst Product, Godrej Is Cheating customers. This wont lost for more than 3 months, cheap quality doesn't  cost more than Rs 150, I bought this at Rs 350. DONT PURCHASE.I claimed warranty in the month of Feb 2020 finally in May 2020 they agreed to replace it. But, till today i didn't received it they are not responding to the mails, customer service not working. BAN THIS GODREJ FROM AMAZON."
22,5,Value for money...,"Good product, battery charge is retained for a long time, than compared to other products..."
23,5,Premium product that justifies the price,There are cheaper products that do the same job. But Hit racquet is a premium product. It is evident in the material used and the finishing. Width the price of you care for quality.
24,1,May Be Fake,"The product stopped working Mid June... which means it worked for less than 3 months!I followed the online procedure to claim my warranty and ask for a replacement but it has been over 2-3 weeks and no one has come to collect the defective unit. According to their policy, they will replace the defective unit ONLY AFTER collecting it...and that interim period would also be 2 weeks. I have re applied to Claim Warranty and have it replaced but am yet to hear from the company. Hence, I do not think this product or warranty is genuine! It is then cheaper to opt for other units at half the value...and even if they last 3 months each...it would still be worth it!"
25,1,Stopped working in 1 week. DONT BUY,Useless... buy it from other site. Stopped working in 1 week
26,1,Stopped working within 3 days after 1 droplet of water,"While struggling to kill the hidden mosquito, a water droplet touched the bat and it stopped working.Also, found quite a struggle to make the mosquitoes touch the bat and at times while it failed to kill with a single touch.Given the price, how easy it stops working, and the effort to kill mosquitoes, I have decided not but it again.Won't recommend either. There are lot more better solutions available for the kill than these bats."
27,1,Product non functional within 6 months and company not honouring warranty,"Had ordered this product but it became non-functional within warranty period. As required , had registered the product online for warranty. As given on warranty card, had tried calling their toll free number which has no response. Then sent an emails to their customer care with the details - all within the 6 month warranty period. No response whatsoever though I followed their claim process. Cannot imagine a warranty not being honoured by a Manufacturer. Very surprising and that too for a product costing Rs 500!!The reviews by the people whose product has failed only shows the poor customer care of this company. Don’t get fooled by the brand. The product is worse than a local brand"
