,Review ratings,Review title,Review
0,5,Love it.,"I am pushing 30's but I still love Harry potter like I did when I was a teenager and today I gave it as a gift to a teenager who is new to the book world. The books arrived in a perfect condition, timely delivery, well packed and along with a book mark. None of pages are missing and the paper quality is too good no speck of yellow is seen even the print is good. The conversation carried out between Ron Hermione and Harry through letters are printed in different fonts and the rest in different which gives the whole book an interesting look. The new readers can feel the conversation actually happening in their mind like a play on radio."
1,5,First Book is the Best. No Damages. Perfect.,"Maximum childishness, minimum violence and absolutely awesome. The best in the series. Buy thisbook from u-Read Shop. People who got secondhand books may have bought USED. Go for it."
2,5,Perfectly Crafted Fantasy.,There's nothing more perfect u can ask for by JK Rowling. Its just magnificent.And thanks for the bookmarks.Fully satisfied with the delivery and the product.
3,5,And the magical journey begins AGAIN,"Having finished the UK version years ago, and to quench the desire to start all over again led me to buy this edition. Nominal changes in otherwise known story makes the journey a bit more interesting. Since the content of the book is already known to many, I am strictly sticking to the condition and quality of the book.The book was delivered to me in excellent condition, this version is a bit bigger and thicker than the Bloomsbury UK edition, and due to increased real estate of the book, contents of the pages seem a bit less congested. If you’re someone who loves a bit large and thick book in their hands go for the US edition instead of the UK one. Chapters too start with a small cartoon which is a nice touch. As can be noticed in the pictures provided  pages are a bit bright than UK one but truth be told might be because of the fact that the UK edition is with me for quite some time.Highly recommended…."
4,4,Page Turner!,"It is the first book in the Harry Potter series. I know, everybody love Harry Potter and here I am reviewing it anyway.LIKES: 😊😊1) World Formation: The whole world building is mind-boggling. The wizarding world is very vast and intricately woven as it has witches, wizards, goblins, three-headed dog, dragon, centaurs, unicorns, and whatnot.2) Characterization: All the characters have been well thought out. No character looked like it's only there as a page filler. The book is full of variety of characters from kind-hearted to mean bullies. Step by step building of friendship between the trio (Harry, Ron and Hermione) is just a sight to behold. The unfolding of characters such as Hermione (from bossy know-it-all to a kind soul who acknowledges the efforts of others) and Neville (who being scardy cat all the time, summons up the courage to take a stand against Draco's minions as well as his friends) is inexplicable and neatly done.3) Writing: J.K. Rowling's writing is so vivid that you will wish you were a witch or wizard, too! Writing is simple which makes it easier to dive into. I love all the positivity spreading through her unique writing style and messages. Dersley family's characters is so well written that everyone abhor them to the core.4) Plot: Plot is very unique and intriguing with fast-paced and gripping story. A great plot twist at the end is an add-on bonus. The clues are nicely linked with the each other and very detailed as compared to the movies.DISLIKES: 😒😒1) I already watched all the movies before the book. Big mistake. So, plot twist at the end was a dead giveaway for me.2) The book is very similar to the movie, so i didn't get to enjoy as much as i should've. Totally my fault!Despite devouring the Harry Potter movie, i loved the book all the same. I recommend it to all the fantasy lovers out there. No matter what age group you belong to, this series is perfect for you. Highly recommended! 😊🙏"
5,5,*  A Must Read Book *,"One of the greatest literary works of all time . Great for people of all ages.Once you start reading, it will be extremely difficult to keep it aside.A magnificent, spellbinding and fantastic book.The kind of book that every one must read to amuse oneself.All in all it is a wonderful and great book!"
6,1,Very bad service by Amazing Buy,"Very bad book provided by Amazing buy.. firstly it wasn't an original,the pages were old and when I returned it they  refunded less than half of the price that paid for book."
7,5,Book at its best condition,"The book quality is very good, even the pages are in a good condition, the name 'Harry Potter and The philosopher's stone' is named in golden shine, surrounded by golden shiny stars and the cover illustration of the book is nice, Moreover, there are no stains, no fading of the golden shine of the cover text, the pages were not torn neither folded. The book was delivered nicely. But Amazon should start giving bookmarks also, which is important accessory for readers. The book is really interesting, and I was really impressed by the book quality... I have done reading it, it is so nice book for most of the ages. Still it's been almost a month, and it is still looking beautiful. Thank you Amazon for the book at its bestest conditions, but please provide bookmarks🔖 also.Harry potter series is a 7 book series ,of Harry and his friend's adventures.A giant man comes to Harry's uncle's home, after thousand letters to him(which they burn) and says he is a wizard. Should Harry believe him? Shall Harry potter continue to be a wizard? He explores the wizarding world and finds out he is very popular, and is called as The Boy who lived. Why is he popular? Who he is? What is his history?He has a adventurous first year, and also suspects that one of the teachers is after some important thing, which is guarded by a monstrous three headed dog. Harry has to save the thing. Can Harry and his friends save the thing? And why is the person after the thing?Read on to find out."
8,5,anvee sontakke = potterhead,"HARRY POTTER. WHAT CAN BE MORE WONDERFUL THAN THIS WHOLE SERIES.... J.K ROWLING IS ONE OF THE MOST WELL KNOWN AUTHORS. THIS SERIES OF BOOKS WRITTEN BY HER MADE ME A BOOKWORM. I DID NOT WANT TO DO ANYTHING ELSE OTHER THAN READ AFTER READING THE FIRST BOOK . I HAVE ALREADY READ THIS SERIES OF BOOKS AND AFTER READING THEM I FELT LIKE READING IT AGAIN SO THIS IS THE SECOND TIME . BEING A POTTERHEAD PEOPLE IN SCHOOL ALSO CALL ME POTTER. THIS SERIES OF BOOKS IS FOR ALL AGES AND EVERYONE IS FREE TO READ IT.THIS MYSTERY,THIRLLER AND COMEDY MAKES ME WANNA ACTUALLY BE IN THE PLACE OF HARRY AND IMAGINE WHAT I WOULD DO. IT ALSO BUILDS UP MY CONFIDENCE TO FACE AND CONQUER DIFFICULTIES IN MY LIFE. IT ALSO TEACHES ME THAT HARDWORK IS THE KEY TO SUCCESS .  ANVEE SONTAKKE ...."
9,5,Thanks J.K Rowling and amazon,"A fascinating novel of magic. I love the experience with harry potter, Ron Wesley and Hermione Granger. It has got a nice front cover also. Thank you Amazon, for packing it so carefully and for handling it with care."
10,5,You root for Harry !,"I am so glad I read this book. I would definitely have missed something if I hadn't picked this up. Such a gem of a book. The writing is so enormously beautiful. You literally imagine all the vivid details. The writing is so lucid and entertaining that you cant stop yourself from reading the book in one go. (But I didnt..) I think I read it in five or six sittings deliberately so I couldn't get over enjoying myself. Such a page turner and such a warm hearted story.You root for Harry throughout. You feel for the characters. A well executed plot. I can go on raving about this book but let me stop and yes, I will be buying the second part soon."
11,5,"The book is amazing, you enter a world of imagination while reading ...","The book is amazing, you enter a world of imagination while reading it. Earlier I thought that harry potter is boring but after reading it I feel so good and light"
12,5,⚡वाचा ⚡,"माझ्या मराठी लोकांसाठी😸माझ्या भावाला harry potter बघायला खूप आवडायचं पण मला तेव्हा tv वर दुसरं काही तरी बघायचं असायचं तरी जबरदस्ती मला ते बघायला लागायचंम्हणून मला भावा सोबत harry Potter सुद्धा आवडत नव्हता . पण जशे मी बुक्स वाचायला सुरुवात केली मला वाटलं की harry potter वाचून बघुया, आणि हे पुस्तक मी वाचायला सुरुवात केली आणि खरंच J. K.Rowling च्या imagination ला दाद दिली पाहिजे अत्ता सगळे बुक्स वाचून झाले की मोव्हिएस बघेन बरं झालं मी लहानपणी मन लावून movies नाही बघितल्या नाही तर आज मला books वाचायला तेव्हडी मज्जा नसती आली🙈पार्वती पाटील साठी तरी ही बुक वाचा😂"
13,5,An absolute gem,"I have a confession to make. As much as I love the Harry Potter books and movies I hadn't read the first two books. I've watched all the movies and read all the other books and I really don't know how I've gone so long without reading these two. They always seemed to be checked out of the school library, or I could only find the abridged versions.I'm glad I finally bought my own copy because can I just say WOW. This is an absolute gem. Now I just have the second book left to read. I can't wait!"
14,5,An Awesome Beginning,"Harry Potter is my favorite book series ever. The movie adaptations are also quite good. I have read all the books before but buying it once again because of the new book covers. Keeping the story aside, the new cover arts are amazing.Story:I am probably reading Philosopher's Stone for the 4th time and every time I read, I discover new hidden secrets just like harry discovers many secrets about Hogwarts in his first year. JK Rowling is probably one of my favorite female author. The way she has engineered the stories is just brilliant. I also love the way she introduces the new characters to us, its ingenious. If you are someone who haven't read any one the Harry Potter books, then I will highly suggest to start with this book, taking in account that you love to read and explore new kingdoms. Not going deep into the story because you can already read the synopsis in this very page. If you have seen the movie first then reading this book, then you will get to know a ton of new plots but if you are planning to do the opposite, then be prepared to be somewhat disappointed. Nevertheless, Happy Reading.About the book and delivery:- The book was delivered on time.- The condition of the book was perfect, no torn pages.- I was expecting a bookmark from Amazon but was disappointed.- I will suggest to wait for a book sale because I got a 48% discount on this book."
15,5,The best series a must read,"I love this book this book is only for them who respect fantasy, mystery,drama and magic and want a abnormal life in the books the best book in the history that I have read in my life I also have it's cursed child part the both books are mind blowing and will be more than the real fantasy land.,and I wish I can be Harry Potter and live adventurous life I can write on this fabulous and brilliant book full day"
16,5,Awesome,"""If you are a Potter head than you are definitely fall in love with this  book.""J.k.ling , one of my most favorite and hearttouching author. As you would be knowing about her most awesome and imaginative book series 'Harry Potter' . Comingn to the point, today I would tell about the first part in this part, J.k. Rowling made the book as the world would be wanting. Fir instance, flying broomsticks , photos that takes passwords,an the most unbelievable game played on broomsticks (QUIDDITCH). According to me you is the best ever series I ever read till now.Tanav GuptaMind Tree SchoolClass - VI"
17,5,PHENOMENAL,WHAT A BOOK! I really don't know why did I not read this book before... Fantastic is the word... Beautiful writing by J. K. Rowling... Especially loved it because there's an Indian character in it... Loved even more because the character's surname is ' Patil ' ( Even my surname is ' Patil ')~ Aditya Patil
18,5,Delight for Potterheads,I am a big potterhead so definitely it was a treat for me 😍😍! The story is narrated in such a magical way that you won't for a second feel out of the place.This book is ideal for everyone and specially for kids. The cover is very beautiful. Definitely go for it.
19,5,Amazing Read for every age!,"Though this book is a children's book, it can be read by anyone. You won't get bored no matter how many times you read. Whenever I get bored this series. I have read the whole series 15+ times. The English in this book is very easy compared to other books. Even a 10 or less can read, if he knows basic reading. The writing style of J.K.R is so good that I fully involve in the book, such that I see myself in the MAGICAL WORLD! In my view it did not lack anything. It had action, humour, even a little romance. If anyone is poor in English, I first recommend this book."
20,5,Engaging Story for Kids,"My daughter first saw all the Harry Potter movies and when she wanted more, I bought her the book. The book definitely has more content than the movie and allows you a greater engagement and enchantment. Now, she wants to read the sequel to this book."
21,3,The Book Was slightly Damaged.,The Book Was slightly Damaged and Papers And Back Cover Wear bent.Paper Quality-4Back cover-3Delivery-3Overall-3.8
22,4,OK,"Some words, fonts, etc missing or badly printed. But everyone knows the contents, so the book is usable."
23,5,You’re a wizard harry,"Still remeber the one sentence which changed everything,delve in to the amazing world of magic with harry.face challanges,unweal secrets, find missing relations,get awesome powers this is a powerhouse of teen age drama."
24,5,Its better to read this book instead of Movie.,i have watched all the harry potter movies but after reading this book i got to know that most of the scenes are chopped in the movie.from where did the hagrid got the flying motor bike . actually neville longbottom went to forbidden forest but in the movie ron went there. lots of unexplained scene are in the book.
25,1,Don't buy it,The book print was quite small..... The ink on the pages smudged...... The book cover was not proper as the paper was scratched and there were imprints not he book cover.... Very unhappy 😞 with it
26,5,bookworm,"do i need to say any thing?? a gods gift for us bookworms who want (sorry NEED) a book to lul us to sleep at night, to keep us going through the length of the day and help us distribute oxygen in our body. enticing the first time you read and enticing the hundredth time you read."
27,5,Simply outstanding!!!!,"Pls pls don't mind the negative comments. I just can't believe how innovative thinker is this lady J.K. Rowling...! As you know the book is actually a masterpiece. If u have heard about harry Potter and haven't watched the film yet.....pls instead of watching the film , buy this and read the marvellous book. I got my first book in this series. And no words to describe. Lots of characters, and it rolls like the movie through your mind.....Pls buy it."
28,5,Magical.. Books are your Best friend!!,Okay so first the packaging was fab! I was so happy when I was opening the package.. The book is magical like you will just read and read... There were no bookmarks so don't think that Amazon is gonna give you free bookmarks. I got the book on 5th June and I finished it on 22nd June actually I was busy that's why.. but i am gonna get the 2nd book (Harry Potter and The Chamber of Secrets) and I'll try to finish it as soon as I can.. Books are the Best!!
29,5,Fantastic book!,"Seriously, you are seeing review of HARRY POTTER? This book is a masterpiece. I got the product in very nice condition and packaging. Thanks J.K. ROWLING for such a masterpiece. Finally, thanks AMAZON for free and fast delivery."
30,5,Highly recommended. I've summed up some points for review.👌👌,"Harry Potter and Wizarding World books have always been so fascinating. Being a Potterhead, I've always wanted to read the HP book series ...love it .•The pages are light.• The binding of the book is also perfect for you to completely open the book (though in the starting it is slightly hard to do so.)• The cover has vibrant illustrations with gold foiling for the title.•The font is of convenient size( Also there are different fonts for ""letters"", ""book names"")• Plus, a bookmark by Amazon.Thank you Amazon.Would surely recommend the product."
31,5,MAGICAL MARVEL!!,"🌟One of my favourite stories of all time! 🎃 It's just...MAGICAL!!🦉👣A wonderful story about friendship, bravery, believing in oneself, having the courage to do the right thing and above all-magic!✨🔮P.S. What's more exciting than a school teaching Spells and Potions !?📚🗝️🐀A story for every age group!🐈🕸️On-time delivery and product was in perfect condition! 🦅"
