,Review ratings,Review title,Review
0,1,Non begginer friendly book,  I bought this book after seeing reviews but believe me its not that much good....Dont buy it if you are a beginner... Its to direct and its only for those who have a previous programming knowledge at good level.Approaches of new chapters or topics are to direct that you cant get it.They could make book more detailed version but their focus is to make it as precise as they can and as for that they made it a non begginer friendly book.I hope this would help you to choose you a better book than this.
1,5,A classic book every programmer should have on his book shelf.,  This book is written by Kernighan and Ritchie when they were developing a language for Unix systems at AT &T Bell Labs. This language is C. This was the first tutorial and C manual book that every computer enthusiastic should own. Although to read and comprehend this book a prior knowledge of programming is required but not mandatory. This book will be of great help while learning C from online tutorials .I received this book in a mint condition and delivery was very quick .
2,5,Worth Learning C From: The Best Book,"  People keep reading this book even decades after it was written. And they are right.This is the best book to learn archaic C. Get your basics right and get introduced to the language in the right way.One author of this book is the creator of the C Programming Language.The book does not spoon feed and an average or below average student with no programming experience might find it difficult to read this book. But if you believe in the hacker's approach, an adavanced student and/or experienced in some other languages, this is the best book for you. Otherwise read Kanitkar or Balaguruswamy.This book provides challenging problems after each chapter. And by solving those, you can learn a lot.This is the best book to get introduced to C. But if you already have knowledge about C, and want to write production ready code, there are other modern books written on this topic.I strongly recommend this book."
3,5,The C language,"  One of the increadible books of C, and the best part it's wrote by Dennis the C developer.According to me, book is good and it's good for all who wants to learn the basics of C language. The contents inside the book is amazing from ch.1"" A tutorial introduction"" to ch.8 ""The UNIX"".The best part* It has been closely associated with the UNIX system.*Great explanation.And at last, about book delivery it was good.But the value of this peace of art is more important, the each word of this book is like Bible world for C Learner's."
4,5,A must buy for a freelancer or future programmer!,"  This book is great for moderate programmers. If you're new to programming, try Java or Python and then get to C/C++. If you're thinking of learning C, take the basic tutorials from Codecademy.com or SoloLearn android app. This book is in great shape and the delivery was moderate with good packing.As for the book, there are a plethora of comcepts made into a compact volume, with no illustrations, so you need to bear with boring pages but it's all worth it. Happy Reading!"
5,5,Probably the best book around to start with Low Level Programming (developing native apps),"  This is the classic programming reference for C, the only one you would ever need, technically. Not at all outdated like many reviewers say, if at all, you may refer to online documentation for the parts changed. But this book has all you need to get on the right direction to learning C, written by C's great creator Dennis Ritchie.Still very useful and good guide. If you are beginning into C, give it a thorough read atleast 7-8 times, then you will be at ease with C. Reason why it's one of the most hated books is because it's much like the Linux documentation (man pages). A quick start guide, but many people prefer reading bulky reference books which try to provide solutions and examples - kinda trying to spoon feed you while this book is staright forward and very Minimalistic from that standpoint :PPaper quality is sub par, and binding and typeset is not one of the best around, though can live with it! Check pics attached to get a sort of idea of the typography and page quality (very thin pages)."
6,3,C for advanced users,  This book is better when you have already learnt c otherwise don't spend your precious money over this book buy ansi c mcgraw hill that will be your best option.Don't buy this if:1) It is your first book on c  2)Just because it is written by authors of c language itself since at that time other languages were present and this book references a lot about them.
7,2,Review is aimed at Pearson. Printing not upto mark.,"  Note: The book is definitely not for beginners. The two good book for learning C language for newbies: C Primer Plus - Prata, Programming in C - Kochan.Pages are super thin. Even a highlighter would bleed through. Pearson's books used to elude class. All that seems to have evaporated into thin air. 70 GSM print papers are thicker than this. Seemed like something churned out from a Roadside Stall Publishing Co. They could charge a fifty-hundred bucks more but at least make the book appear capable of lasting a couple of years!"
8,5,Must for every programmer!,"  The C programming language is the foundation of many programming language and once one master the C programming language, they will find is easier to learn other programming languages. The content of the book is first class as the inventor himself wrote it, it may be dense read for some but it is far superior in ideas and what could be done with C in comparison to other Indian authors. Thin book also don't intimidate by its size. Paper quality could be better but then the price is also reasonable. All in all, a must for every budding programmer or even advanced programmer to revise their basic concepts."
9,5,"A must have for all Programmers, even if they don't like C.","  Don't be deceived by the Number of Pages in this book. Even though this book covers ANSI C, this book is still the best book that can teach the concepts of C and how the Unix OS handles (in minor detail) things at the memory level.IMHO, if a programmer hasn't studied C from this book, then for me, s/he is not a programmer at all. This is the BIBLE of Programmers.Buy it, even if you don't write (or don't want to write) code in C, and then read it. You'll appreciate the inventor of C and then you'll thank me for recommending this book."
10,5,Best C programming book,"  Best book for C programming ,most recommended book if  preparing for Tier 1 and Tier 2companies and also for GATE exam ."
11,2,not up to the mark,  i have bought this book as i have seen that the author of the book is Dennis M. Ritchie (founder of C language) but no doubt he is a excellent programmer but he is not a that good writer. The book includes the data that u will get anywhere around the web.i not prefer u to purchase this book
12,5,"The book is an instruction manual of the programming language C, but it's not meant for beginners.","  The C Programming Language (2nd Edition) Book by two renowned computer scientists Brian W. Kernighan and Dennis M. Ritchie is one of the best books on C. It covers all the aspects of the programming language, including descriptions about many features which even an experienced C programmer might not know about. In addition to this, the book also focuses on what common mistakes programmers make while writing a C program, and teaches the reader the correct implementations of the same. There are a few program-related questions at the end of many topics which help the reader understand the concepts better.This book is, however, not meant for those who do not have any previous experience with programming languages which are similar to C (for example: C++, C#, Java, Rust, etc.)"
13,5,No other book which comes even close to this master piece.,"  Of course not for beginners, one has to have a basic understanding of architecture and operating system. The most intuitive book on programming. Almost all other programming language are in some or other ways descendent of C, this book demystifies very fundamentals of how programs work. And C is very close to hardware, as Linus Torvalds says “I am yet to see a language which comes as close to C”. Written in 1989 by Masters themselves who were original creator of UNIX, this book is still the best resource to learn C."
14,5,Best book for C and also Programming in general,"  Not a beginner book for non-computer science scholars... BUT WITH SOME EFFORT, IT IS THE BEST BOOK FOR C PROGRAMMING FOR BEGINNERS.(This particular book's paper quality is a disgrace, but I'm discounting that fact given the content is so good.)"
15,1,Not for Beginners!!!,"  This book is not at all for beginners. The content is very concise and isn't enough to understand the complexity of c language. You wouldn't understand a thing if you are new to programming,and it might even demotivate you. I suggest you to pick any other beginner friendly books like yeshawant kanetkar'slet us c or balaguruswamy. I purchased it because of the hype surrounding it but I think it was a waste of money. This will only help you if you are already familiar with programming and understand basic logic."
16,5,Read it 10 or hundred times.,"  Its hould not be for beginners,although i recomend not to learn programming from books for beginners and use tutorial .once you are a bit of intermediate.then this is a must book.you will be able to writeBEAUTIFUL CODE.must read for aspiring programmers."
17,4,"Worth it? I guess not, or I guess it is. Read below.","  The pages were good, packaging was fine however the cover of book was wrinkled. You guys should improve on the handling of books. Otherwise No complaints. Recommended Books for those who already know some C or other programming language and get started with C. Books covers almost all major topics of C and explaining everything with a perspective that the reader is quite intelligent to figure it out. Would recommend 10/10. After this you may want to read something on Modern C."
18,5,Good book for C Language,  Amazon delivered the book in it's best condition. I liked it
19,1,Print quality resembling a pirated book,  The print quality resembles that of a pirated book. The pages look as if they were printed on a dot matrix printer and then photographed. I purchased the book twice from Cloudtail India and am returning it both times. Severely disappointed.
20,5,Excellent book..! Worth reading..!,  Excellent packaging.A must read book for an intermediate level programmer who wants to learn C. The language of the book is simple enough and you can say that the most important topics/concepts of C is packed in a single book of 272 pages...!
21,1,Will not recommend,"  Long back I had the book from prentice hall publications. Now I bought this book to read again and keep for reference. Font for text and code in the Pearson publication of this book is same and not pleasant for reading, also paper quality is not good. Started looking for used book from prentice hall publications. I returned the recently bought book."
22,5,Best buy..best book for beginner/intermediate level,  This is one of the purest forms available to learn C programming. Best book with crystal clear concepts and examples. Books do help.. Syntax is so well explained. If you are really looking for a good C programming book..you can give this a try..!But if you want advanced level book with lot of problems and examples then go for other books.
23,5,Book is everything you need to know about C,"  The book is made in direction of building programs by your own. Really great book. Book will change the way you code. If you aim to crack exams like GATE, this book will help to support your approach and create a strong foundation of C language. Book expects a little knowledge about programming stuff. Book is worth the price."
24,5,Every developer needs this book The C Programming Language.,"  I just love it, the Delivery.. Packing... Quality of Book... are really excellent.Every developer needs this book The C Programming Language.You can LEARN the things FROM the CREATER... JUST GO FOR THIS.Hope to continue purchaging books in Amazon."
25,3,Overall it's a good  book.,"  1. The front cover was little damaged, The packaging should we more secure.2. I was unable to find any price tag on the book, through they didn't charged more as I checked on other sites.3. The book will be little uncomfortable for beginners."
26,5,Masterpiece,  Please don't rate negatively by saying it's not beginner friendly. It's masterpiece by the creator himself. I read it back in pdf and decided to buy it even though I almost have read everything written already.
27,3,The Book's content is great but book cover had stapler holes,  The book is in good shape but I noticed removed stapler holes on all corners on the book and on both front and back covers.This particular book isn't available where I live neither new nor used so I got no choice here. Other than that everything is good.
28,3,Not for beginners,  The book is not beginner friendly first of all .You must be famaliar with programming inorder to understand it .Though the books covers minute detials that generally you might not know .Now lets talk about the physical aspects of the book .Books was in fine condition when it arrivedAll the pages were well printed .
29,4,Good but not beginner friendly!!,"  Book is very good and covers all concepts but if you are a beginner, you might not wanna go with this one.To use this book you must require some basic knowledge of the language because it contains some words that you might not understand at your first try... Otherwise book is good.."
30,4,Recommend by AICTE,  This book become recommended by every technical college in India who gives training about programming . If you want clarity then this book is for you
31,1,photocopied pages,  By content this book is undeniably the best C programming  manual but I am unhappy with the quality of pages  and print in the book.The content was photocopied and arranged and bond together.
32,1,Bad printing quality,  The print quality is very bad. The text is blur on many pages. The darkness of color is changed throughout the book. Extremely bad experience. Even replaced the book once which even had different front and back color of paper.
33,3,Ok product,  Wrote by the creators themselves. But it's just basics only. You could get more than this from YouTube. I bought it cause it's good for my strained eyes.
34,5,This is the book written by authors of C itself,  This is the book written by the author of C itself ! So cannot say a single word against this book..:)
35,4,Delivery-EXCELLENT; Product quality-POOR,"  Delivery service from Amazon - SATISFACTORY(didnt receive directly from delivery man, he passed it on to third person. Should have given to me directly)Product quality - POOR ( several pages were missing, print quality is not good )"
36,1,"Pathetic Print Quality, Pirated Copy.","  Initiated return within just 5 mins after receiving the book.  Reason ? Pathetic Quality of print, duplicate/pirated copy."
37,5,Best book to learn C programming,  Who can detail better that creator of C himself. Dennis Ritchie father of computer programming .
38,5,ok,"  Nothing great information, available in the internet, can be use to show people."
39,5,Really Great One But Not For Beginners!,"  This book is really concise and to the point. Explains all the necessary components of C language. But this book is too fast for a beginner, It assumes you know how to program.If you have not programmed before, this book is not for you."
40,4,programmer,"  I highly recomended to use this book for beginner and intermediate level of programmer .If  you are novice then it will  headache, after one month of continuous reading ,it will become your friend."
41,4,Best book to learn C language.,  Go for this book to learn in a concise manner. Exercises will help you surely. A must read book.
42,5,Brilliant,"  This book is a must buy for learning C. The best thing about it is it's not boring at all. Other books start with Variables and move slowly towards real programming which is very boring. But, this book covers all in the first chapter, so that you can do programming in C without reading the whole book. After some programming practice, the book gives in-depth details from Chapter 2. And it is to be noted that this book is written by Kernighan and Ritchie (Ritchie has made the original version of C)."
43,4,👍👏,  Amazon service is great with fast delivery and pakka packing.  I case you are beginner then this book is not for. Go for other!!
44,5,Awesome !!,"  Amazing book .. Gives an insight into how a developer thinks about a language he created , what he believes in .. And how it is shaped .. An additional resource for your language learning"
45,5,Great Documentation by the man Himseelf.,"  This is a not a textbook to learn C, rather it is kind of the official C documentation by Dennis Ritchie."
46,5,Advance book of c in Amazon foreign market,  Great book for beginners and to get more advanced on programming on C programming or start coding with this is a most advanced book in the market
47,2,product is good,  there are some concepts are missing in the bookbut overall is goodbest book for learning c language
48,5,Loved it,"  Awesome product for people who had basics in java, python or any other programming language. It works well with beginners to programming also but would keep on performing each and every program discussed in the book right from starting."
49,5,Text printing is also good. Overall you can buy it without any thought,  Book is very helpful for beginners who want to take deep knowledge of C.Quality of pages is superb.Book is handy.Text printing is also good.Overall you can buy it without any thought.
50,5,Not for beginners ..but good book,  This book is not for absolute beginners. You can go for this if u know c already and want to learn more or want to keep it for reference. Good book.
51,5,Must read,  Great book for C language learner’s. Covers all basics with easy examples
52,5,Best book,  I used to read this book online but ordered hard copy as it is one of the best books to learn c in  deepth. Not for first interaction of programming. Consider this if you have learnt a programming language before.
53,5,Nice,"  It is a nice book written in easiest way possible i highly recommend these for newbies,it helped me alot though"
54,2,Not good,  Not a book for starters or intermediate. It is just explaining some design choices pros and cons.
55,5,The only book you need !!,  Best book for C language.Complete with latest info.
56,4,Good,  The book quality was not good.but the content in the book  was explained clearly.But the book does not cover enough examples .
57,3,Avg,  It's ok with it
58,4,Read it,"  If u are a beginner read this only after u had atleast a maximum coverage on your basic topics of c programming, but it is highly recommend for learning c"
59,5,Good,  Good
60,5,Nil,  Nil
61,1,Awesome book! Duplicate product received.,  I had an old book. That had a crisp print and the oaper quality was very good. This one delivered by amazon has a very poor print and paper quality.
62,3,Printing not upto the mark,  The publising is not upto the mark. Some pages have missingle letter and some sentences are incomplete at edges of pages.
63,4,Not For Beginners,  Book is Awesome...but not for the one who don't even know about C Language...Check for Some Other Options
64,4,It just had Basics of C.,  For 200rs it's good to learn some basic of C programming.
65,5,Great Purchase,  The book was delivered in brand new condition. It is the bible of C programming.
66,5,Best ANSI C guide,  Only buy this if you have a basic understanding of the C language. It's not written for beginners trying to understand C.
67,5,Good book,  Good book
68,5,clear text. code is also very clear. there ...,"  clear text. code is also very clear. there is option to open the actual image for the code, which makes it more clearer."
69,3,"Great book, below average print quality",  The print quality is very bad. You get what you paid for I guess. The book istelf is a must have for anyone looking to try out C programming.
70,5,Good Book,"  Timely delivery, good packing, legible print, reasonable price, useful book. Thank you amazon."
71,5,Great book for a CSE student.,  Not a book for beginers but its a must read if u have anything to do with software developement.
72,4,Good for beginners,"  Good book for beginners and advanced programmers. It's a budget book, so don't expect good quality pages and printing."
73,3,Good,"  Book is good but a beginner where he have to started his  1st coding,which is main purpose.that isn't mention in this book."
74,5,The book is of decent quality,"  The book itself is of decent quality. The front cover is peeling away, but at this cheap a cost it honestly doesn't matter."
75,5,Best Book Available for C,"  This is an excellent book. Coding in C is stepping stone for being a good coder in general. If you are someone who likes things to be kept simple and systematic and love to master whatever you do, this is the best book."
76,5,Good Book,  Worth to purchase
77,5,Great book of C Programming,  Good book. As a programmer you need to have it..only this book is sufficient for your programming life.
78,5,Recommended book for learning C,"  Best book to learn the ANSI C standard, from the author himself.The book is not very big, but still covers the language nuances.If you actually complete the book, along with understanding the exercises, there would be nothing you wouldn't know to write an efficient program using C."
79,5,I love c programming,  Dennis ritchie is the person who invented c programmingNo introductions need hence forth.Good book to learn c programming.
80,1,"Not for beginner,but suggested for expert","  Not suggested for beginner  who knows nothing,but useful in learning process."
81,5,Best book to learn C language.,  This book is written by the creator of the Language . You can't find another book where you can learn the language as well as understand the inner workings of the syntexs of this language.
82,1,Poor paper quality,"  Paper quality is very poor, bought @175"
83,3,Good Book.,"  The book is best for C Programming. Good enough for beginner as well as for professionals.Though the quality of the pages are pathetic, so is the font used in this."
84,5,Good for money,  Content was good
85,4,Great one 👌,"  It's a great book but it won't really works well with beginners, unless You are a hard learner."
86,5,BEST FOR THOSE WHO KNOWS CODING BEFORE,"  REALLY NICE BOOK,I BOUGHT THIS BOOK ON MY PROFESSOR'S RECOMMENDATIONSAND IT REALLY IS EASY TO UNDERSTAND."
87,1,Not suitable for novice so review is on the basis of its mattrr written inside.,  Not a book for low lever or beginners.Tough language n hard to understand.
88,4,Review,  The book is good and explains the basic functions of c and an overview about it...
89,5,The book is of course real good. It is meant for an audience with at ...,  The book is of course real good. It is meant for an audience with at least a little bit of progamming experience. The book explains the inner workings of C by the creators of C themselves.
90,5,C is COOL,  Every CS student must have it.Amazing delivery
91,1,Poor readability,  Pathetic service by AmazonReceived low quality printed pages and haven't received refund or replacement yet
92,5,Five Stars,  The original authoritative book on C. I will always keep this book as Reference book for lifetime.
93,5,Thanks,  Excellent
94,5,Nice book.,  Nice book for those who are want to clear basic knowledge of C.Very good book for fundamental clearence.The paper quality & binding of this book is also gpod
95,3,Not too good,  Average quality book.Front cover was slightly bent.
96,4,Good,  Good book not for beginner's
97,5,It is a very good book with a beautiful approach,"  It is a very good book with a beautiful approach, and if this is not, what else could have been? For beginners, this book is going to help a lot in learning to think in C, and if you want to go deeper, well there is no dearth of material, and nothing is sufficient. As of now, it is great."
98,5,It is a great book,  This book has everything you need to learn the fundamentals of C quickly!
99,5,Best book,  Best book ever for beginners . This book delivered next day. Quality is good.
100,4,Good,  Like
101,5,"Genuine price, appreciate quick delivery service","  Good product, 5 star is for delivery, as always amazon never fails to surprise with quick deliveries, got the product two days before expected date. Nicely packed, genuine price."
102,5,Best delivery,  Nice book latest edition 2018
103,5,Five Stars,"  Best book for C, nice paper qualityNote: ""not for beginners""Fast delivery from amazon..."
104,4,Best Reference for C Programming,"  Really good book but when it was delivered, it had a lot of creases and folds. The cover was completely bent. Anyhow, the book in itself is excellent"
105,5,Excellent,  Great
106,5,Bible of computer science,  Easy for a beginner and brief enough for a well seasoned programmer to revise
107,4,Good Book,"  Contains Detailed study of C language, but as always practical coding is more important guys."
108,4,Four Stars,  great book
109,5,Good quality must buy,  DONT BUY JUST FOR COMPETITIVE PROGRAMMING. Very good book if you have little coding base ready . A bit difficult initially but becomes habitual as time passes . Language of book is difficult at times .
110,5,Collectors' special.,  Great book.
111,5,Best Book,  Best book
112,5,Best,  Best book for c I have ever read.
113,5,Amazing Book,  Every Computer Science student should have a taste of this Book. It's so useful and much needed during interview or Campus Placements.The whole set of knowledge and better programming skills are covered in this book.
114,5,Five Stars,  It heled me a lot with basics
115,5,good,  good
116,5,... a professional guide for C language and probably the best too. Note,  Its a professional guide for C language and probably the best too.Note: If you are a beginner then don't directly jump to buy this book as its language is tough to understand. But if you have already made your hands dirty in C then it would be a perfect choice for you to have professional coding style.
117,5,All good,  All good
118,5,Best Book to learn C in depth,  If you want to know C Language in depth read it. All your concept will clear.
119,5,Concise exegesis on the language,  Buy it !!Worth it.. The insight on the language is unparalleled. A must for every beginner and a decent reference for advanced users or those who want to brush up on the basics.
120,5,Toooo good for C intro,  The book so good.illustration is very clear than best tutorials you can find.C is very sensitive language and most of the things are explained neatly
121,5,Do not buy Kindle version,"  The content is good, but not easy to read on Kindle"
122,1,Waste of money,  Begginers don’T buy this book it is not for the beginners waste of money
123,5,Worth it,  Book is priceless no doubt but packaging creased the cover and little on boundaries
124,4,Great book for intermediates,  Great book for intermediates
125,1,Poor quality,  Not good
126,5,"Very good book, recommended by my senior","  Very good book,recommended by my senior. Got delivered within couple of days. And thaanks to great amazon deal's. i got it in just 60/-.I mean what else you need."
127,4,Four Stars,"  Good book for C, one cant master C without reading it once!"
128,5,About the book,  Really good book but not for new learners
129,5,awsomeee!!,  Awesome book!!!  C is the most interesting  language mr. Denis has developed....i suggest c begineers..to read this... As i m beginner... Enjoy c language...
130,4,Four Stars,  the best book on c language and its more valuable when written by the hands of the inventor
131,2,Tough to understand,  Good book. But I not recommended to learning guys.
132,5,Good delivery,  Print of the book is good.Got it on time .Amazon didn't fail me this time.It could have covered the book good.
133,5,Awesome book,  This book is a bible of c language.
134,3,Three Stars,"  Not very good, I am not satisfied."
135,5,Five Stars,  One of the best book for C.
136,5,Best,  Best book for learning C
137,5,Complex,  Tough and complex for understanding
138,5,Good for beginners,  Has a simple and lucide explaination of concepts with suffecient examples. Good book for beginners.
139,5,A++,  Best book to learn C programming. Enough said.
140,3,Not for beginners,  Nof for very beginners learning
141,5,good book to clear the basics in C,  if one want to understand c in better and want clear basics in c then its a must read book.
142,2,Not for bignners,  Not not not for bignners ye bakbass book hai beginner k liye
143,5,C programing,  Very helpful
144,5,Best book for c,"  Best book for c , form  basic to advance level each and every concept is covered in this book , I read whole book"
145,5,Five Stars,"  Legendary Book. Small and comprehensive for beginners , but for advanced concepts you need other books."
146,4,Nice but not for basics.,  Book is quite good but if you are looking for basics of 'c' then its not work. Go for first edition.
147,5,Goood,  Good
148,5,worth the price,  Good book 📚 for beginners
149,3,Duplicate product,  Not original...... duplicate 😔
150,5,Nice book,  SuperbSimple language
151,4,Four Stars,  Quality of pages could have been better. Book is anyway a gem for c programmers. Thanks Ritchie
152,4,Great book but a poor print,  The four star is ofcourse for the print quality. The quality of the subject material and the author's style is superb.
153,5,Low cost and the best book for c,  Low cost and the best book for c tricks. Definitely not for beginners.
154,5,nice,  Nice
155,5,Five Stars,  good product
156,5,great book,"  Great book, bad printing"
157,5,not for beginners,  excellent book if you are a person who knows about programming
158,4,MUST READ ONCE IN LIFETIME,  Awesome BookGOD OF C HAVE WRITTEN THISITS a BIBLE FOR CMUST READ ONCE IN LIFETIMEIF YOU ARE SOFTWARE ENGINEER:) :)
159,1,Who should buy?,  Don't buy if you are a beginner at c.
160,5,Five Stars,  Best book for C.
161,2,The pages of this book's are too poor I think this is duplicate copy of original book ...,  The pages of this book's are too poorI think this is duplicate copy of original bookPrice of book should be rupees 80
162,3,Need price review,  Price is too much
163,5,Reading,"  Awesome,nice book"
164,5,Very much helpful,  Very much helpful
165,5,Beginners keep away😂,  Every line will teach you how expert programmers write thair code.
166,5,Five Stars,  useful
167,1,Bad quality,  Very bad paaper quality
168,5,The good point about this book is that it is written ...,"  I believe if you want to be a computer engineer or any computer related , this is a MUST MUST have book. The good point about this book is that it is written by who made C Language. So he covers all the neccesary points."
169,5,N,  Nice
170,5,Awesome Text Book,  Very Helpful After Know About C beginning......
171,5,May be not good for beginners But essential to be a good programmer ...,  May be not good for beginnersBut essential to be a good programmerWell written codes in just few lines
172,3,Bad print quality,"  Book is really good. But the page & print quality is pathetic.Eighth's reprint is bad quality. If you get 7th re-print, it is ok."
173,5,Basic English language to learn easily,  Nice
174,5,Nice book,  This book very good quality
175,5,good book,  great book for beginners.and the price is affordable
176,5,Good buy!,"  The book is just awesome! And if you want to learn C, from it's creators! Then there is no other option! And it's an collectable item for lovers fo C, Dennis Ritchie and Brian Kernighan!"
177,5,Go for it!!!!!,"  Thought I'd the edition which is shown in the picture, but I got Pearson publish. No problem. Received earlier than estimated."
178,5,World Class,"  What can i say? The book is simply regarded as ""Bible"". Even if you are not a C programmer, it is worth having one."
179,4,Four Stars,  Good book for c
180,5,Five Stars,  Best book for mastering c.
181,5,Bible for programmers!!!,  a must have book for all programmers irrespective of the level!!!
182,5,The best,  Succinct and accurate.
183,4,Four Stars,  Lovely book to get original conceptuality of c.
184,5,This is book is useful,  This book consists of more practical aspects than theoretical
185,3,Good,  Good to read
186,5,Good book,  Good book
187,5,Best book for c,  Best book ❤
188,4,.,  Besically it is not useful for begguners.
189,5,Programming language,"  I love this book.......i had read, all the book"
190,5,Nice one,  Nice condition and awesome book
191,4,Four Stars,  awsome
192,5,Not for beginners,  Recommended
193,5,User's guide,  This book is the User's Manual to C.
194,5,Book is very good.. you will learn something in every program ...,  Book is very good..you will learn something in every program written..Print quality is not good
195,5,Great Book,  Great Book.... Very helpful but you need to know basics of C.
196,5,Five Stars,  Outstanding!
197,5,very good reference book,  helps only when you  have knowledge on C.
198,5,Excellent book,  A must-to-buy book for C enthusiasts from the author of C language. The delivery is prompt and neat as well.
199,5,Amazing book,  A very good book for in depth learning...
200,3,Good,  Good book for c
201,4,Four Stars,  Main covers is little thin but ok manageble.
202,4,Amazing..,  Nice book.. I ordered it few days ago.. It's a complete description about a language c upto depth.  All topics are discussed in it
203,1,received in bad condition,"  got it in a very bad condition, the binding is ruined pages are coming apart"
204,5,Good headline,  Nice
205,5,Awesome book,  Grt.
206,5,Outstanding,  Nyc
207,4,it is very good book for building concept,  Concept boosting bookk ..it is very good book for building concept ..
208,5,Look no further ...,  Excellent book.Very impact and informative .
209,4,Good,  Nice book
210,5,"best book by creator of wonderfull language of programming ""C""",  awsome book if you love coding
211,2,Good,  Not bad
212,5,Five Stars,  Great Book and Good Service by Amazon
213,3,Good,  Good
214,5,Five Stars,  A must read for every Computer Science student! :)
215,5,It is C,  God himself explains what God created.
216,5,Great book for having command over c Would personally recommended ...,  Great book for having command over  cWould personally recommended it for all who want to have command  over c
217,1,Worse,  Not Suitable for Beginners
218,5,Exillent..,  Great explanation...its worth to buy it.
219,4,Four Stars,  Duplicate material or the quality of paper very bad
220,4,nice book,  its a nice book for mediocre programming skilled person to sharpen their skills
221,1,Copyright 1998.that is very old edition,  Copyright 2015 written.but it is copyright 1998.Thus very old edition.
222,5,Five Stars,  Very beautiful book. Everything is complete.
223,4,Awesome book,"  Hi,I'm mobile app developer, knew this book since college days. It's an awesome book for experienced developer who wants to brush up the c concepts."
224,4,Four Stars,  Good
225,5,Awesome,  Awesome book for c language..
226,5,Five Stars,  must read
227,5,Good,  Good
228,5,Five Stars,  Not recommended for begginers
229,5,Best begginer book,  Best book for begginer to advance.  Information from starting of c programming
230,4,Four Stars,  Very nice book....but it is little difficult for fresher's.....
231,5,Worth every penny,  Very nice book
232,4,"Good content, Inferior print quality",  Delivered by amazon in 4 daysDisappointed with print quality otherwise a must for C learners.
233,5,Five Stars,  Not good for beginners
234,5,For beginners,  Usefull
235,5,Five Stars,  Great book..Take this book after you done with let us C by Yashwant kanetkar
