,Unnamed: 0,Rating,Review title,Review,cleaned,lemmatized,polarity,review_len,avg_word_len,pie_bins,pie_quantile_bins,Rating satisfaction,Polarity satisfaction,Match,3608,,,
0,0,1,I got a defective piece. Since I was not ...,"I got a defective piece. Since I was not at my home during the delivery period, I could not ask for replacement. I am trying to claim warranty, but I did not get any assistance.",I got a defective piece Since I was not at my home during the delivery period I could not ask for replacement I am trying to claim warranty but I did not get any assistance ,get defective piece home delivery period ask replacement try claim warranty assistance,0,86,6.25,"(5.8, 8.2]","(6.0, 13.0]",0,1,FALSE,761,,Predicted satisfied,Predicted not satisfied
1,1,1,Do not buy this bag,This bag is of the lowest quality you can imagine. I am sure it is a duplicate one and not original. The inner partitions are so thin that they will tear off after 3-4 use. Returning the item.,This bag is of the lowest quality you can imagine I am sure it is a duplicate one and not original The inner partitions are so thin that they will tear off after use Returning the item ,bag low quality imagine sure duplicate original inner partition thin tear use return item,0.095,89,5.428571429,"(3.4, 5.8]","(5.0, 5.5]",0,1,FALSE,,Actually satisfied,3148,107
2,2,2,Disliked the product but <3 to Amazon,"Received the bag in the worst packaging I have seen in my e commerce experience.Also the bag though seemed original seemed to be of poor quality.The partition cloth seemed weak and the mesh for carrying bottle around seemed fragile.Overall 2 stars for Amazon and not for the product1 for timely delivery, and2 for accepting the refund!",Received the bag in the worst packaging I have seen in my e commerce experience Also the bag though seemed original seemed to be of poor quality The partition cloth seemed weak and the mesh for carrying bottle around seemed fragile Overall stars for Amazon and not for the for timely delivery for accepting the refund ,receive bag bad packaging see e commerce experience bag original poor quality partition cloth weak mesh carry bottle fragile Overall star Amazon timely delivery accept refund,-0.183333333,174,5.730769231,"(3.4, 5.8]","(5.5, 6.0]",0,0,TRUE,,Actually not satisfied,654,460
3,3,1,Poor quality,"The stiches of the  bag is started coming out in 6 months. Feel the cloth is of poor quality.how to return the bag for availing the warranty, can anyone please adviseReturning the materials after the Amazon window closes is an Herculean task, the bag has become a burden for me now",The stiches of the bag is started coming out in months Feel the cloth is of poor quality how to return the bag for availing the warranty can anyone please adviseReturning the materials after the Amazon window closes is an Herculean task the bag has become a burden for me now,stiche bag start come month feel cloth poor quality return bag avail warranty advisereturne material Amazon window close herculean task bag burden,-0.4,146,5.681818182,"(3.4, 5.8]","(5.5, 6.0]",0,0,TRUE,,,,
4,4,5,Five Stars,Very nice bag ....Very light....And spacious. ...,Very nice bag Very light And spacious ,nice bag light spacious,0.5,23,5,"(3.4, 5.8]","(4.0, 5.0]",1,1,TRUE,,,,
5,5,1,Bad quality,Totally disappointed..Not at all worth buying. It seems only the name is been printed as American Tourister and the bag is local brand. Quality is so badThis time totally disappointed.,Totally disappointed Not at all worth buying It seems only the name is been printed as American Tourister and the bag is local brand Quality is so badThis time totally disappointed ,totally disappointed worth buying print American Tourister bag local brand Quality badthis time totally disappoint,-0.09,114,6.666666667,"(5.8, 8.2]","(6.0, 13.0]",0,0,TRUE,,,,
6,6,5,Looks Great and Robust,I got this for 803 ...at this price it is great .I have got this right now ...looking great ..I feel  that it will be robust in long term usage ..if not I will right and decrease the rating ...but for now it is amazing Amazon!!!,I got this for at this price it is great I have got this right now looking great I feel that it will be robust in long term usage if not I will right and decrease the rating but for now it is amazing Amazon ,get price great get right look great feel robust long term usage right decrease rating amazing Amazon,0.453571429,101,5,"(3.4, 5.8]","(4.0, 5.0]",1,1,TRUE,,,,
7,7,4,Good product at steal price,Product is good with classy looks...Have enough space for 3 days travel..Fabric should have been even better ....,Product is good with classy looks Have enough space for days travel Fabric should have been even better ,product good classy look space day travel Fabric well,0.4,53,5,"(3.4, 5.8]","(4.0, 5.0]",1,1,TRUE,,,,
8,8,2,it looks like a copy and the material quality is really cheap,I got this bag just a moment ago..And my reaction was what the hell.. it looks like a copy and the material quality is really cheap..it doesn’t look like an original American tourister..Amazon is selling fake products,I got this bag just a moment ago And my reaction was what the hell it looks like a copy and the material quality is really cheap it doesn’t look like an original American tourister Amazon is selling fake products,get bag moment ago reaction hell look like copy material quality cheap look like original american tourister Amazon sell fake product,0.06875,133,5.380952381,"(3.4, 5.8]","(5.0, 5.5]",0,1,FALSE,,,,
9,9,1,Duplicate or low quality products are sold on Amazon,"Initially the bag was very good. But with the passage of time and continuous usage, the bottom of the bag started deteriorating. And after 1 year and 2 months it has started tearing off. On the other hand my son is using school bag of Skybags bought from Big Bazaar and it is still in good condition despite of rough usage which usually kids do.After comparing both the bags I arrived on the conclusion that either the bags which are being sold on Amazon are duplicate products or are of low quality which are specially manufactured for selling on eCommerce websites.This is not the only case. I have arrived on this conclusion after 3-4 years of experience, as within this period I have purchased handbags of Lavie, Caprese etc. All the bags started deteriorating after passage of one year.",Initially the bag was very good But with the passage of time and continuous usage the bottom of the bag started deteriorating And after year and months it has started tearing off On the other hand my son is using school bag of Skybags bought from Big Bazaar and it is still in good condition despite of rough usage which usually kids do After comparing both the bags I arrived on the conclusion that either the bags which are being sold on Amazon are duplicate products or are of low quality which are specially manufactured for selling on eCommerce websites This is not the only case I have arrived on this conclusion after years of experience as within this period I have purchased handbags of Lavie Caprese etc All the bags started deteriorating after passage of one year ,initially bag good passage time continuous usage bag start deteriorate year month start tear hand son school bag Skybags buy Big Bazaar good condition despite rough usage usually kid compare bag arrive conclusion bag sell Amazon duplicate product low quality specially manufacture sell eCommerce website case arrive conclusion year experience period purchase handbag Lavie Caprese etc bag start deteriorate passage year,0.175892857,419,5.885245902,"(5.8, 8.2]","(5.5, 6.0]",0,1,FALSE,,,,
